case,scenario,geometry,n,m,d,weights,seed,sweep_value,is_self,overlap_count,overlap_fraction,common_mass,method,projection_kind,L,epsilon,collision_mass,collision_fraction,largest_fiber,method_id,median_ms,q25_ms,q75_ms,cost,row_l1,col_l1,row_relative,feasible,retained_mass,retention_ratio,exact_cost,absolute_gap,relative_gap,self_cost,self_map_error,status,peak_traced_mib,iterations,backend
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT,structured,8,,0.6763587989282815,0.7109375,6,LMOT/structured/L8,2.0870555,2.0663542500000003,2.10775675,0.15222818134361843,1.240327285323417e-16,1.2576745200831851e-16,4.255686220197922e-16,True,0.0,,0.06469568031804303,0.0875325010255754,1.3529883385608883,,,ok,0.017638206481933594,,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,EST,structured,8,,0.6763587989282815,0.7109375,6,EST/structured/L8,1.977025,1.966777,1.987273,0.15222818134361843,1.240327285323417e-16,1.2576745200831851e-16,4.255686220197922e-16,True,0.0,,0.06469568031804303,0.0875325010255754,1.3529883385608883,,,ok,0.017385482788085938,,
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn,none,0,0.01,,,,Sinkhorn/eps=0.01,26.194108,26.080875,26.307341,0.06651273776539515,5.689893001203927e-16,3.961253161426093e-09,1.666077352338683e-15,True,0.0,,0.06469568031804303,0.0018170574473521245,0.028086225207301266,,,ok,0.023711204528808594,251,pot
n16_d2_nonuniform_s0_v0,support,grid,16,16,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn,none,0,0.001,,,,Sinkhorn/eps=0.001,154.850397,154.6003275,155.1004665,0.06469567838886633,4.796510411075872e-15,5.450452997789179e-08,1.8762644102947135e-14,False,0.0,,0.06469568031804303,,,,,not_converged,0.027956008911132812,1500,pot
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,LMOT,random,8,,0.0,0.0,1,LMOT/random/L8,2.8763829999999997,2.839893,2.912873,0.0,8.881784197001252e-16,8.881784197001252e-16,8.793772773398386e-15,True,1.0,1.0,0.0,0.0,,0.0,7.065416064076988e-15,ok,0.042304039001464844,,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,EST,random,8,,0.0,0.0,1,EST/random/L8,2.4168054999999997,2.38283175,2.45077925,0.0,8.881784197001252e-16,8.881784197001252e-16,8.793772773398386e-15,True,1.0,1.0,0.0,0.0,,0.0,7.065416064076988e-15,ok,0.035640716552734375,,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,LMOT,structured,8,,0.9213211695574859,0.927734375,8,LMOT/structured/L8,2.5043575000000002,2.45106975,2.55764525,1.8262148690623298e-17,3.408731630294426e-16,3.0054084221298183e-16,5.3236304146767706e-15,True,0.9999999999999998,0.9999999999999998,0.0,1.8262148690623298e-17,,1.8262148690623298e-17,3.6905523389740094e-15,ok,0.03610801696777344,,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,EST,structured,8,,0.9213211695574859,0.927734375,8,EST/structured/L8,2.3148115000000002,2.19741725,2.43220575,0.07136612054971353,3.5822039778921066e-16,3.222248856626919e-16,5.3236304146767706e-15,True,0.4149941235089553,0.4149941235089553,0.0,0.07136612054971353,,0.07136612054971353,0.24059199150867389,ok,0.029473304748535156,,
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,Sinkhorn,none,0,0.01,,,,Sinkhorn/eps=0.01,36.5557945,36.42066575,36.69092325,0.007209459300847341,2.480654570646834e-16,6.153348382480911e-09,9.057509318809146e-16,True,0.3926947422787863,0.3926947422787863,0.0,0.007209459300847341,,0.007209459300847341,0.05821632771483688,ok,0.26735496520996094,221,pot
n64_d2_nonuniform_s0_v1,support,grid,64,64,2,nonuniform,0,1.0,True,64,1.0,1.0,Sinkhorn,none,0,0.001,,,,Sinkhorn/eps=0.001,241.09542249999998,235.42234425,246.76850075,8.883639333355068e-05,2.5066754227864863e-16,1.5747317691820317e-05,7.391474798513582e-16,False,0.9788271259296331,0.9788271259296331,0.0,,,8.883639333355068e-05,0.002800266239699394,not_converged,0.27100658416748047,1500,pot
